                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.35971,                0.61771,                 1.0688,                0.76581,                0.79726,                0.86597,                0.80162,                0.45224,                0.64135,                0.96756,             0.00067524,             0.00067524,             0.00067524
                     68,                0.36261,                0.65138,                 1.0671,                0.75165,                0.82266,                  0.823,                0.76569,                0.46276,                0.62473,                0.99308,             0.00066382,             0.00066382,             0.00066382
                     69,                0.36132,                0.63502,                 1.0703,                0.80778,                0.80304,                0.84845,                0.79692,                0.45219,                0.58607,                0.95648,              0.0006524,              0.0006524,              0.0006524
                     70,                0.35387,                0.60954,                  1.061,                0.81012,                0.76473,                0.86657,                 0.8131,                0.46205,                 0.5732,                0.94536,             0.00064098,             0.00064098,             0.00064098
                     71,                0.35826,                0.59771,                 1.0675,                0.80049,                0.75572,                0.84681,                0.78483,                0.44222,                 0.6384,                0.94052,             0.00062956,             0.00062956,             0.00062956
                     72,                 0.3589,                0.61525,                 1.0653,                 0.7027,                0.84647,                0.87699,                0.81631,                0.47173,                0.59213,                0.97907,             0.00061814,             0.00061814,             0.00061814
                     73,                0.35007,                0.61706,                 1.0578,                0.83284,                0.78084,                0.85538,                0.79665,                0.43288,                0.55826,                0.92758,             0.00060672,             0.00060672,             0.00060672
                     74,                0.36553,                0.62421,                 1.0687,                0.75601,                 0.7882,                0.87316,                0.81134,                0.43684,                0.55909,                0.92203,              0.0005953,              0.0005953,              0.0005953
                     75,                0.35412,                0.61379,                 1.0585,                0.78967,                0.84436,                0.88113,                0.81881,                0.42556,                0.55161,                0.90999,             0.00058388,             0.00058388,             0.00058388
                     76,                0.35412,                0.61045,                 1.0662,                0.81956,                0.79402,                0.86372,                0.80695,                0.44358,                0.55356,                0.92887,             0.00057246,             0.00057246,             0.00057246
                     77,                0.35444,                0.60571,                 1.0615,                0.78747,                0.82767,                0.88568,                0.82849,                0.45923,                0.55211,                0.93771,             0.00056104,             0.00056104,             0.00056104
                     78,                0.34893,                0.61874,                 1.0593,                0.78823,                0.77773,                0.86716,                0.81347,                0.43432,                0.56466,                0.93175,             0.00054962,             0.00054962,             0.00054962
                     79,                0.36485,                0.60555,                  1.069,                0.78316,                 0.7734,                0.87685,                0.81403,                0.42119,                0.54061,                0.91826,              0.0005382,              0.0005382,              0.0005382
                     80,                0.33711,                0.59433,                 1.0546,                0.76996,                0.80431,                0.87469,                0.80929,                0.42005,                0.56351,                0.92144,             0.00052678,             0.00052678,             0.00052678
                     81,                0.34086,                0.57841,                 1.0494,                0.82798,                0.78177,                0.87973,                0.81395,                0.43259,                 0.5225,                0.91321,             0.00051535,             0.00051535,             0.00051535
                     82,                0.34472,                0.59473,                 1.0586,                0.78967,                0.81396,                0.88309,                0.82234,                0.43304,                0.52488,                0.91854,             0.00050393,             0.00050393,             0.00050393
                     83,                0.34587,                0.58444,                 1.0566,                0.77318,                 0.8256,                 0.8693,                0.80578,                0.41473,                0.53136,                0.89114,             0.00049251,             0.00049251,             0.00049251
                     84,                0.34969,                0.60649,                 1.0619,                0.81324,                0.77962,                0.87212,                0.82548,                0.42028,                0.51704,                0.89688,             0.00048109,             0.00048109,             0.00048109
                     85,                0.34587,                0.58225,                 1.0522,                0.74529,                0.83633,                  0.871,                0.80802,                 0.4191,                 0.5744,                0.89904,             0.00046967,             0.00046967,             0.00046967
                     86,                0.35464,                0.60229,                 1.0689,                0.85953,                0.78419,                0.88239,                0.82309,                0.43459,                0.53171,                0.91151,             0.00045825,             0.00045825,             0.00045825
                     87,                0.34876,                0.59161,                   1.06,                0.77419,                0.78302,                0.85852,                0.79842,                0.42049,                0.53488,                 0.9086,             0.00044683,             0.00044683,             0.00044683
                     88,                0.35415,                0.59549,                 1.0629,                0.82138,                0.82648,                0.88458,                 0.8264,                0.40437,                0.50082,                0.89117,             0.00043541,             0.00043541,             0.00043541
                     89,                0.33803,                0.58818,                 1.0521,                0.77924,                0.77529,                0.86466,                0.80523,                0.42058,                0.50872,                0.89398,             0.00042399,             0.00042399,             0.00042399
                     90,                0.33274,                0.56879,                 1.0516,                0.81558,                0.78506,                 0.8799,                0.82479,                0.40696,                0.53037,                0.89066,             0.00041257,             0.00041257,             0.00041257
                     91,                0.34775,                0.57099,                 1.0518,                0.80182,                0.79025,                0.86841,                0.80913,                0.45283,                0.54695,                0.95838,             0.00040115,             0.00040115,             0.00040115
                     92,                0.33975,                0.56844,                 1.0575,                0.79699,                0.72083,                0.84512,                0.78886,                0.43858,                0.56775,                0.93145,             0.00038973,             0.00038973,             0.00038973
                     93,                0.34746,                0.57205,                 1.0635,                0.79607,                0.76884,                0.87199,                0.81413,                0.43002,                0.53377,                0.93671,             0.00037831,             0.00037831,             0.00037831
