                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.37676,                0.64133,                 1.0735,                0.75623,                0.78177,                0.84189,                0.78151,                0.43834,                0.60683,                0.96725,             0.00089043,             0.00089043,             0.00089043
                     51,                0.37161,                0.65205,                 1.0709,                0.79692,                0.78848,                0.87313,                0.82579,                0.46837,                0.60231,                0.96434,             0.00087944,             0.00087944,             0.00087944
                     52,                0.37535,                0.66046,                 1.0785,                0.81243,                0.79842,                0.85913,                0.80411,                0.43425,                0.58493,                0.92789,             0.00086845,             0.00086845,             0.00086845
                     53,                0.37272,                0.65102,                 1.0683,                0.71187,                 0.8573,                0.85498,                0.79143,                0.42871,                0.61901,                0.96175,             0.00085746,             0.00085746,             0.00085746
                     54,                 0.3668,                0.64912,                 1.0708,                0.77664,                0.73112,                0.84982,                0.80053,                0.44443,                0.66567,                0.98203,             0.00084647,             0.00084647,             0.00084647
                     55,                0.38024,                0.65308,                 1.0779,                0.77286,                0.83633,                0.87125,                0.81498,                0.42381,                0.61551,                0.93539,             0.00083547,             0.00083547,             0.00083547
                     56,                0.35997,                0.62925,                 1.0596,                 0.7751,                0.71251,                0.82145,                0.74524,                0.42609,                0.99451,                0.94865,             0.00082448,             0.00082448,             0.00082448
                     57,                0.37067,                0.64738,                 1.0729,                0.85363,                0.69803,                0.88537,                0.82623,                0.43125,                0.65732,                0.94051,             0.00081349,             0.00081349,             0.00081349
                     58,                0.37738,                0.63748,                 1.0739,                0.79508,                0.80184,                0.89215,                0.83621,                0.42361,                0.56225,                0.92136,              0.0008025,              0.0008025,              0.0008025
                     59,                0.37321,                 0.6587,                 1.0733,                0.77308,                0.79916,                0.87017,                0.80853,                0.43257,                0.63138,                0.93197,             0.00079151,             0.00079151,             0.00079151
                     60,                0.35366,                0.63662,                 1.0658,                0.84392,                0.78677,                0.90384,                0.83913,                0.41945,                0.56803,                0.92432,             0.00078052,             0.00078052,             0.00078052
                     61,                0.36042,                0.63722,                  1.063,                0.78983,                0.81933,                0.89557,                 0.8285,                0.41921,                0.58174,                0.89473,             0.00076953,             0.00076953,             0.00076953
